É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2025/10/16 17:12:51

,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy
2025/1/31,-0.7,8,1,1.8,8,1,-1.9,8,1
2025/2/1,-1.6,8,1,1.3,8,1,-4.6,8,1
2025/2/2,-2.4,8,1,-0.8,8,1,-4.7,8,1
2025/2/3,-3.4,8,1,-0.3,8,1,-7.6,8,1
2025/2/4,0.8,8,1,5.0,8,1,-1.9,8,1
2025/2/5,-0.6,8,1,1.8,8,1,-2.3,8,1
2025/2/6,-0.1,8,1,2.7,8,1,-2.5,8,1
2025/2/7,-2.3,8,1,0.9,8,1,-5.6,8,1
2025/2/8,-2.2,8,1,3.0,8,1,-8.2,8,1
2025/2/9,-1.5,8,1,0.9,8,1,-3.3,8,1
2025/2/10,-1.8,8,1,2.1,8,1,-4.7,8,1
2025/2/11,-2.4,8,1,1.3,8,1,-5.9,8,1
2025/2/12,0.4,8,1,4.6,8,1,-5.9,8,1
2025/2/13,-1.9,8,1,0.6,8,1,-3.5,8,1
2025/2/14,-1.6,8,1,1.6,8,1,-3.3,8,1
2025/2/15,-0.3,8,1,3.5,8,1,-3.6,8,1
2025/2/16,0.9,8,1,5.9,8,1,-4.5,8,1
2025/2/17,0.8,8,1,3.7,8,1,-2.3,8,1
2025/2/18,-2.9,8,1,-1.3,8,1,-4.9,8,1
2025/2/19,-1.8,8,1,-0.3,8,1,-4.1,8,1
2025/2/20,-2.0,8,1,1.5,8,1,-7.2,8,1
2025/2/21,-2.3,8,1,0.4,8,1,-5.9,8,1
2025/2/22,-2.7,8,1,1.2,8,1,-7.4,8,1
2025/2/23,-2.5,8,1,1.7,8,1,-6.7,8,1
2025/2/24,-1.6,8,1,2.2,8,1,-7.0,8,1
2025/2/25,2.6,8,1,5.5,8,1,-2.1,8,1
2025/2/26,1.0,8,1,4.8,8,1,-1.5,8,1
2025/2/27,0.2,8,1,2.1,8,1,-2.5,8,1
2025/2/28,5.9,8,1,10.9,8,1,-0.7,8,1
2025/3/1,4.7,8,1,7.8,8,1,-0.1,8,1
2025/3/2,0.4,8,1,5.0,8,1,-2.6,8,1
2025/3/3,-4.2,8,1,-2.0,8,1,-6.4,8,1
2025/3/4,-2.7,8,1,-0.1,8,1,-5.1,8,1
2025/3/5,-1.5,8,1,1.6,8,1,-5.6,8,1
2025/3/6,0.3,8,1,2.8,8,1,-1.4,8,1
2025/3/7,-0.6,8,1,2.0,8,1,-2.9,8,1
2025/3/8,-1.4,8,1,2.5,8,1,-5.9,8,1
2025/3/9,1.0,8,1,6.2,8,1,-2.5,8,1
2025/3/10,2.2,8,1,6.1,8,1,-2.4,8,1
2025/3/11,5.2,8,1,10.2,8,1,0.9,8,1
2025/3/12,6.5,8,1,11.6,8,1,0.0,8,1
2025/3/13,6.9,8,1,10.0,8,1,3.4,8,1
2025/3/14,1.9,8,1,3.8,8,1,0.3,8,1
2025/3/15,1.2,8,1,3.2,8,1,-0.3,8,1
2025/3/16,0.5,8,1,3.4,8,1,-1.8,8,1
2025/3/17,-0.8,8,1,0.1,8,1,-2.9,8,1
2025/3/18,-1.2,8,1,1.6,8,1,-5.4,8,1
2025/3/19,-1.0,8,1,3.8,8,1,-5.8,8,1
2025/3/20,2.3,8,1,5.7,8,1,-2.2,8,1
2025/3/21,6.0,8,1,9.0,8,1,3.0,8,1
2025/3/22,6.5,8,1,10.4,8,1,1.8,8,1
2025/3/23,3.3,8,1,4.3,8,1,1.3,8,1
2025/3/24,4.4,8,1,9.2,8,1,-1.3,8,1
2025/3/25,7.5,8,1,11.1,8,1,5.9,8,1
2025/3/26,4.8,8,1,9.3,8,1,1.4,8,1
2025/3/27,3.1,8,1,5.5,8,1,0.4,8,1
2025/3/28,3.8,8,1,5.8,8,1,1.5,8,1
2025/3/29,2.7,8,1,6.4,8,1,0.1,8,1
2025/3/30,0.5,8,1,4.2,8,1,-2.2,8,1
2025/3/31,0.4,8,1,3.2,8,1,-3.1,8,1
2025/4/1,4.0,8,1,8.8,8,1,-0.6,8,1
2025/4/2,5.0,8,1,8.3,8,1,3.0,8,1
2025/4/3,3.8,8,1,5.7,8,1,2.1,8,1
2025/4/4,3.7,8,1,5.7,8,1,0.6,8,1
2025/4/5,6.7,8,1,11.8,8,1,0.9,8,1
2025/4/6,7.8,8,1,13.4,8,1,2.9,8,1
2025/4/7,9.7,8,1,16.7,8,1,7.0,8,1
2025/4/8,7.4,8,1,9.3,8,1,6.1,8,1
2025/4/9,8.8,8,1,13.9,8,1,4.5,8,1
2025/4/10,10.6,8,1,17.0,8,1,5.0,8,1
2025/4/11,10.7,8,1,17.4,8,1,6.8,8,1
2025/4/12,12.0,8,1,19.0,8,1,6.3,8,1
2025/4/13,11.9,8,1,16.9,8,1,8.0,8,1
2025/4/14,9.1,8,1,12.1,8,1,7.4,8,1
2025/4/15,7.7,8,1,10.4,8,1,6.6,8,1
2025/4/16,7.6,8,1,9.1,8,1,6.3,8,1
2025/4/17,10.0,8,1,15.5,8,1,5.6,8,1
2025/4/18,10.4,8,1,18.8,8,1,4.0,8,1
2025/4/19,11.0,8,1,14.2,8,1,8.8,8,1
2025/4/20,9.6,8,1,13.6,8,1,7.1,8,1
2025/4/21,7.1,8,1,8.3,8,1,5.6,8,1
2025/4/22,8.5,8,1,15.6,8,1,4.0,8,1
2025/4/23,9.5,8,1,15.0,8,1,5.6,8,1
2025/4/24,14.1,8,1,21.1,8,1,9.8,8,1
2025/4/25,10.3,8,1,14.3,8,1,6.4,8,1
2025/4/26,9.6,8,1,12.8,8,1,5.3,8,1
2025/4/27,7.9,8,1,10.5,8,1,6.4,8,1
2025/4/28,8.5,8,1,15.9,8,1,4.9,8,1
2025/4/29,6.1,8,1,8.7,8,1,4.5,8,1
2025/4/30,6.3,8,1,8.8,8,1,3.8,8,1
2025/5/1,10.6,8,1,18.7,8,1,3.1,8,1
2025/5/2,12.2,8,1,16.3,8,1,10.0,8,1
2025/5/3,13.6,8,1,18.1,8,1,10.3,8,1
2025/5/4,12.1,8,1,16.5,8,1,10.1,8,1
2025/5/5,13.1,8,1,18.0,8,1,8.6,8,1
2025/5/6,13.0,8,1,17.2,8,1,8.9,8,1
2025/5/7,11.7,8,1,16.1,8,1,7.2,8,1
2025/5/8,14.3,8,1,19.8,8,1,7.7,8,1
2025/5/9,15.9,8,1,21.0,8,1,9.6,8,1
2025/5/10,13.2,8,1,14.7,8,1,11.8,8,1
2025/5/11,12.1,8,1,14.5,8,1,9.6,8,1
2025/5/12,14.8,8,1,22.0,8,1,8.1,8,1
2025/5/13,15.4,8,1,21.7,8,1,10.5,8,1
2025/5/14,18.6,8,1,25.9,8,1,12.3,8,1
2025/5/15,18.0,8,1,23.9,8,1,13.1,8,1
2025/5/16,20.2,8,1,27.1,8,1,14.5,8,1
2025/5/17,18.8,8,1,24.5,8,1,15.5,8,1
2025/5/18,17.2,8,1,22.9,8,1,12.1,8,1
2025/5/19,15.7,8,1,21.5,8,1,9.9,8,1
2025/5/20,14.7,8,1,19.8,8,1,12.0,8,1
2025/5/21,14.7,8,1,21.5,8,1,8.5,8,1
2025/5/22,12.8,8,1,16.7,8,1,10.7,8,1
2025/5/23,12.1,8,1,15.8,8,1,10.7,8,1
2025/5/24,14.3,8,1,19.5,8,1,10.3,8,1
2025/5/25,11.4,8,1,12.8,8,1,10.7,8,1
2025/5/26,11.9,8,1,14.6,8,1,9.6,8,1
2025/5/27,15.0,8,1,22.0,8,1,8.0,8,1
2025/5/28,17.6,8,1,24.2,8,1,10.8,8,1
2025/5/29,18.7,8,1,26.4,8,1,12.2,8,1
2025/5/30,18.7,8,1,26.9,8,1,13.8,8,1
2025/5/31,19.2,8,1,24.8,8,1,15.7,8,1
2025/6/1,16.5,8,1,22.8,8,1,12.2,8,1
2025/6/2,14.1,8,1,18.0,8,1,12.0,8,1
2025/6/3,16.2,8,1,20.7,8,1,12.8,8,1
2025/6/4,16.3,8,1,21.2,8,1,12.7,8,1
2025/6/5,15.4,8,1,19.2,8,1,12.6,8,1
2025/6/6,19.8,8,1,24.2,8,1,14.5,8,1
2025/6/7,20.6,8,1,24.9,8,1,17.5,8,1
2025/6/8,19.4,8,1,23.3,8,1,15.0,8,1
2025/6/9,21.0,8,1,29.4,8,1,13.0,8,1
2025/6/10,20.6,8,1,28.4,8,1,15.8,8,1
2025/6/11,20.4,8,1,25.7,8,1,16.9,8,1
2025/6/12,15.3,8,1,18.3,8,1,13.4,8,1
2025/6/13,18.2,8,1,25.4,8,1,11.8,8,1
2025/6/14,20.9,8,1,27.2,8,1,16.2,8,1
2025/6/15,19.9,8,1,24.0,8,1,16.9,8,1
2025/6/16,19.6,8,1,24.3,8,1,16.5,8,1
2025/6/17,23.3,8,1,28.1,8,1,18.1,8,1
2025/6/18,23.4,8,1,29.0,8,1,19.1,8,1
2025/6/19,22.4,8,1,30.3,8,1,18.1,8,1
2025/6/20,23.6,8,1,30.9,8,1,18.5,8,1
2025/6/21,21.9,8,1,25.2,8,1,19.3,8,1
2025/6/22,21.2,8,1,23.3,8,1,19.6,8,1
2025/6/23,23.4,8,1,28.2,8,1,18.4,8,1
2025/6/24,24.9,8,1,30.2,8,1,18.6,8,1
2025/6/25,26.0,8,1,33.1,8,1,20.1,8,1
2025/6/26,24.2,8,1,30.2,8,1,20.7,8,1
2025/6/27,20.0,8,1,22.8,8,1,17.8,8,1
2025/6/28,20.8,8,1,27.6,8,1,17.6,8,1
2025/6/29,23.7,8,1,30.2,8,1,17.4,8,1
2025/6/30,23.8,8,1,28.8,8,1,21.2,8,1
2025/7/1,25.1,8,1,32.3,8,1,21.1,8,1
2025/7/2,25.4,8,1,28.8,8,1,22.8,8,1
2025/7/3,25.8,8,1,30.0,8,1,22.8,8,1
2025/7/4,26.1,8,1,29.5,8,1,21.9,8,1
2025/7/5,25.7,8,1,33.0,8,1,21.6,8,1
2025/7/6,27.0,8,1,32.2,8,1,22.1,8,1
2025/7/7,27.1,8,1,32.4,8,1,22.8,8,1
2025/7/8,24.8,8,1,29.2,8,1,20.8,8,1
2025/7/9,24.5,8,1,30.3,8,1,19.5,8,1
2025/7/10,23.0,8,1,27.5,8,1,20.0,8,1
2025/7/11,20.6,8,1,25.3,8,1,17.3,8,1
2025/7/12,20.0,8,1,25.6,8,1,16.2,8,1
2025/7/13,21.4,8,1,26.5,8,1,16.0,8,1
2025/7/14,24.5,8,1,28.5,8,1,19.7,8,1
2025/7/15,25.7,8,1,30.2,8,1,23.1,8,1
2025/7/16,25.5,8,1,30.6,8,1,23.1,8,1
2025/7/17,28.5,8,1,33.9,8,1,24.3,8,1
2025/7/18,26.6,8,1,30.2,8,1,23.9,8,1
2025/7/19,25.6,8,1,27.8,8,1,23.1,8,1
2025/7/20,27.4,8,1,30.8,8,1,23.5,8,1
2025/7/21,29.2,8,1,32.9,8,1,25.6,8,1
2025/7/22,29.8,8,1,33.5,8,1,25.4,8,1
2025/7/23,29.8,8,1,34.9,8,1,24.9,8,1
2025/7/24,28.5,8,1,35.3,8,1,23.9,8,1
2025/7/25,28.4,8,1,35.7,8,1,23.6,8,1
2025/7/26,25.7,8,1,27.6,8,1,23.7,8,1
2025/7/27,25.5,8,1,29.5,8,1,23.2,8,1
2025/7/28,24.7,8,1,27.6,8,1,23.2,8,1
2025/7/29,25.8,8,1,28.6,8,1,22.9,8,1
2025/7/30,27.3,8,1,32.7,8,1,23.4,8,1
2025/7/31,26.3,8,1,30.1,8,1,23.3,8,1
2025/8/1,26.6,8,1,30.7,8,1,23.8,8,1
2025/8/2,27.2,8,1,31.8,8,1,24.0,8,1
2025/8/3,27.2,8,1,31.2,8,1,24.7,8,1
2025/8/4,26.7,8,1,30.0,8,1,23.8,8,1
2025/8/5,26.1,8,1,29.0,8,1,24.3,8,1
2025/8/6,25.3,8,1,30.2,8,1,22.3,8,1
2025/8/7,23.8,8,1,26.5,8,1,21.6,8,1
2025/8/8,22.7,8,1,26.6,8,1,20.9,8,1
2025/8/9,23.3,8,1,27.2,8,1,20.1,8,1
2025/8/10,24.7,8,1,28.0,8,1,21.1,8,1
2025/8/11,25.5,8,1,31.5,8,1,20.7,8,1
2025/8/12,25.5,8,1,29.7,8,1,22.3,8,1
2025/8/13,25.2,8,1,29.2,8,1,20.8,8,1
2025/8/14,25.0,8,1,28.9,8,1,21.2,8,1
2025/8/15,26.2,8,1,30.1,8,1,21.9,8,1
2025/8/16,27.1,8,1,33.4,8,1,19.8,8,1
2025/8/17,24.2,8,1,27.3,8,1,20.9,8,1
2025/8/18,24.7,8,1,29.3,8,1,19.7,8,1
2025/8/19,23.8,8,1,29.2,8,1,18.7,8,1
2025/8/20,26.4,8,1,33.1,8,1,21.7,8,1
2025/8/21,23.7,8,1,27.3,8,1,19.2,8,1
2025/8/22,23.2,8,1,27.3,8,1,19.9,8,1
2025/8/23,24.4,8,1,30.1,8,1,21.1,8,1
2025/8/24,25.0,8,1,28.9,8,1,20.4,8,1
2025/8/25,24.9,8,1,28.2,8,1,23.0,8,1
2025/8/26,25.2,8,1,29.1,8,1,22.8,8,1
2025/8/27,24.4,8,1,30.1,8,1,20.4,8,1
2025/8/28,21.7,8,1,25.1,8,1,19.1,8,1
2025/8/29,21.8,8,1,24.5,8,1,20.2,8,1
2025/8/30,20.6,8,1,22.9,8,1,19.4,8,1
2025/8/31,23.3,8,1,26.9,8,1,19.3,8,1
2025/9/1,24.6,8,1,27.7,8,1,22.0,8,1
2025/9/2,22.8,8,1,24.3,8,1,21.3,8,1
2025/9/3,23.6,8,1,27.3,8,1,19.9,8,1
2025/9/4,22.7,8,1,28.2,8,1,17.8,8,1
2025/9/5,23.3,8,1,28.2,8,1,18.6,8,1
2025/9/6,24.1,8,1,28.6,8,1,18.7,8,1
2025/9/7,22.6,8,1,25.2,8,1,20.1,8,1
2025/9/8,22.9,8,1,28.2,8,1,17.8,8,1
2025/9/9,23.2,8,1,26.5,8,1,20.1,8,1
2025/9/10,23.6,8,1,27.2,8,1,19.2,8,1
2025/9/11,22.2,8,1,28.8,8,1,18.3,8,1
2025/9/12,21.8,8,1,27.9,8,1,16.3,8,1
2025/9/13,20.3,8,1,23.8,8,1,17.0,8,1
2025/9/14,20.9,8,1,24.2,8,1,16.9,8,1
2025/9/15,21.8,8,1,28.5,8,1,15.8,8,1
2025/9/16,22.9,8,1,28.6,8,1,17.9,8,1
2025/9/17,21.4,8,1,24.3,8,1,18.7,8,1
2025/9/18,19.1,8,1,22.5,8,1,16.7,8,1
2025/9/19,17.6,8,1,22.8,8,1,13.7,8,1
2025/9/20,16.0,8,1,20.6,8,1,11.7,8,1
2025/9/21,15.7,8,1,19.1,8,1,12.9,8,1
2025/9/22,16.3,8,1,22.3,8,1,10.7,8,1
2025/9/23,17.8,8,1,23.5,8,1,13.0,8,1
2025/9/24,18.6,8,1,23.7,8,1,13.0,8,1
2025/9/25,18.9,8,1,21.6,8,1,16.2,8,1
2025/9/26,19.6,8,1,25.7,8,1,15.6,8,1
2025/9/27,19.5,8,1,24.7,8,1,14.3,8,1
2025/9/28,20.3,8,1,25.7,8,1,14.2,8,1
2025/9/29,19.6,8,1,22.9,8,1,16.1,8,1
2025/9/30,18.6,8,1,23.9,8,1,13.8,8,1
2025/10/1,18.9,8,1,21.6,8,1,16.4,8,1
